epoch,stage,tr_loss,tr_cls,tr_lm,tr_acc,tr_f1,va_loss,va_acc,va_f1,va_auc,is_best
1,cls_only,0.669498,0.669498,0,0.624462,0.624757,0.526137,0.76575,0.780716,0.864256,1
2,cls_only,0.565739,0.565739,0,0.724651,0.728977,0.550126,0.74175,0.662087,0.904112,1
2,cls_only,0.565717,0.565717,0,0.723705,0.727545,0.500402,0.78575,0.749927,0.900364,1
3,cls_only,0.535845,0.535845,0,0.752567,0.755153,0.526793,0.7675,0.70401,0.918324,1
4,joint,0.757809,0.511889,0.819732,0.776198,0.779533,0.551396,0.7625,0.69414,0.926002,1
5,joint,0.706891,0.497468,0.698075,0.788365,0.791917,0.494679,0.79825,0.754786,0.931369,1
6,joint,0.675181,0.4856,0.631937,0.79918,0.800225,0.521485,0.788,0.737624,0.931357,0
7,joint,0.652516,0.477945,0.581902,0.805819,0.807267,0.452413,0.83325,0.811954,0.936997,1
8,joint,0.630787,0.467752,0.543451,0.814218,0.813996,0.516057,0.795,0.748775,0.928656,0
9,joint,0.612938,0.461742,0.503986,0.819961,0.820832,0.429623,0.84925,0.836364,0.941793,1
10,joint,0.594727,0.455541,0.463954,0.826117,0.826135,0.417608,0.85825,0.851298,0.942914,1
11,joint,0.581604,0.452317,0.430957,0.827518,0.828295,0.484776,0.81775,0.784638,0.946248,1
