epoch,step,global_step,loss,cls_loss,lm_loss
1,0,0,0.810428,0.43158,1.262828
1,0,0,0.748779,0.418727,1.100174
1,200,200,0.951666,0.541779,1.366291
1,400,400,0.831571,0.38997,1.472003
1,600,600,0.701057,0.302382,1.328919
1,800,800,0.778283,0.397276,1.270024
1,1000,1000,0.862447,0.413061,1.497952
1,1200,1200,0.962492,0.53657,1.419739
1,1400,1400,0.744251,0.376062,1.227298
1,1600,1600,0.991363,0.525201,1.553873
1,1800,1800,0.85567,0.494016,1.205516
1,2000,2000,1.286286,1.018341,0.893151
1,2200,2200,0.707158,0.397828,1.0311
1,2400,2400,0.636995,0.361022,0.919911
1,2600,2600,0.694689,0.375281,1.064694
1,2800,2800,0.646839,0.346106,1.002444
1,3000,3000,0.607585,0.32086,0.95575
1,3200,3200,0.551928,0.228811,1.077056
1,3400,3400,0.753712,0.478792,0.916399
1,3600,3600,0.586332,0.28326,1.01024
1,3800,3800,0.704963,0.474475,0.768292
1,4000,4000,0.719394,0.520068,0.664419
1,4200,4200,0.530605,0.368997,0.538692
1,4400,4400,0.536768,0.314905,0.739544
1,4600,4600,0.513432,0.292383,0.73683
1,4800,4800,0.545454,0.284491,0.869875
1,5000,5000,0.814111,0.672705,0.471354
1,5200,5200,0.530596,0.280644,0.833172
1,5400,5400,0.628533,0.356541,0.906639
1,5600,5600,0.362672,0.217902,0.482569
1,5800,5800,0.805064,0.646887,0.527256
1,6000,6000,0.463579,0.230971,0.775363
1,6200,6200,0.834406,0.510867,1.078463
1,6400,6400,0.489284,0.296783,0.641667
1,6600,6600,0.611845,0.394717,0.723758
1,6800,6800,0.672526,0.436606,0.786399
1,7000,7000,0.649477,0.467398,0.606928
1,7200,7200,0.824243,0.657135,0.557028
1,7400,7400,0.697624,0.314369,1.277516
1,7600,7600,0.82213,0.67088,0.504165
1,7800,7800,0.685272,0.503412,0.606201
1,8000,8000,0.483025,0.245244,0.792603
1,8200,8200,0.665951,0.491177,0.58258
1,8400,8400,0.490315,0.314301,0.586715
1,8600,8600,0.56374,0.393439,0.567672
1,8800,8800,0.659967,0.528803,0.437213
2,0,8841,0.482203,0.322357,0.532821
2,200,9041,0.679503,0.503687,0.586056
2,400,9241,0.937561,0.769055,0.561685
2,600,9441,0.691876,0.54657,0.484354
2,800,9641,0.705477,0.405226,1.000837
2,1000,9841,0.575547,0.33349,0.806857
1,0,0,0.753257,0.343313,1.366481
2,0,8841,0.646917,0.432974,0.713143
2,200,9041,0.550829,0.379956,0.569577
2,400,9241,0.687678,0.433923,0.845849
