epoch,stage,steps,time_sec,time_str,tr_loss,tr_cls,tr_lm,tr_consistency,tr_acc,tr_f1,va_loss,va_acc,va_f1,va_auc,lm_loss_weight,is_best
1,cls_only,12080,8534.52,2h 22m 14s,0.4745,0.4745,0,0.0,0.799545,0.799412,0.341315,0.915,0.91029,0.978543,0.0,1
2,cls_only,12080,8381.98,2h 19m 41s,0.338053,0.338053,0,0.0,0.913762,0.91311,0.394306,0.89425,0.882467,0.984268,0.0,1
3,cls_only,12080,8401.02,2h 20m 01s,0.312558,0.312558,0,0.0,0.929305,0.928488,0.316936,0.933,0.929213,0.988136,0.0,1
4,joint,8765,20689.26,5h 44m 49s,0.585076,0.315049,0.895882,0.025251,0.927039,0.926052,0.366739,0.90675,0.897892,0.983361,0.3,0
5,joint,8765,21570.33,5h 59m 30s,0.556201,0.302319,0.759941,0.011368,0.935824,0.934839,0.294099,0.949,0.94715,0.989061,0.3333,1
6,joint,8765,21556.92,5h 59m 16s,0.561702,0.29358,0.729909,0.009765,0.942156,0.941978,0.325534,0.93275,0.928666,0.984804,0.3667,0
1,cls_only,12080,8343.96,2h 19m 03s,0.646191,0.646191,0,0.0,0.777587,0.774218,0.3318,0.919,0.913508,0.983726,0.0,1
2,cls_only,12080,8386.0,2h 19m 46s,0.332128,0.332128,0,0.0,0.917695,0.916912,0.292358,0.94525,0.943073,0.990495,0.0,1
3,cls_only,12080,8470.37,2h 21m 10s,0.302566,0.302566,0,0.0,0.937024,0.936534,0.293698,0.94625,0.943996,0.991196,0.0,1
4,joint,8765,20903.69,5h 48m 23s,0.642784,0.296991,1.143886,0.052558,0.94227,0.941648,0.294715,0.94525,0.942865,0.991403,0.3,1
