epoch,step,global_step,step_time_s,loss,cls_loss,lm_loss,consistency
1,0,0,499.02,0.813354,0.813354,,
1,199,199,3.146,0.640454,0.640454,,
1,399,399,1.904,0.532764,0.532764,,
1,599,599,1.491,0.698389,0.698389,,
1,799,799,1.284,0.839966,0.839966,,
1,999,999,1.16,0.832373,0.832373,,
1,1199,1199,1.077,0.656299,0.656299,,
1,1399,1399,1.019,0.67561,0.67561,,
1,1599,1599,0.975,0.647876,0.647876,,
1,1799,1799,0.94,0.354419,0.354419,,
1,1999,1999,0.913,0.731006,0.731006,,
1,2199,2199,0.89,0.655188,0.655188,,
1,2399,2399,0.872,0.632129,0.632129,,
1,2599,2599,0.856,0.340228,0.340228,,
1,2799,2799,0.842,0.638354,0.638354,,
1,2999,2999,0.83,0.379645,0.379645,,
1,3199,3199,0.82,0.496283,0.496283,,
1,3399,3399,0.811,0.47587,0.47587,,
1,3599,3599,0.803,0.583014,0.583014,,
1,3799,3799,0.796,0.955481,0.955481,,
1,3999,3999,0.789,0.486005,0.486005,,
1,4199,4199,0.783,0.499231,0.499231,,
1,4399,4399,0.778,0.355188,0.355188,,
1,4599,4599,0.773,0.240082,0.240082,,
1,4799,4799,0.768,0.38396,0.38396,,
1,4999,4999,0.764,0.611746,0.611746,,
1,5199,5199,0.76,0.297806,0.297806,,
1,5399,5399,0.757,0.282629,0.282629,,
1,5599,5599,0.754,0.338705,0.338705,,
1,5799,5799,0.751,0.300693,0.300693,,
1,5999,5999,0.748,0.28316,0.28316,,
1,6199,6199,0.745,0.321112,0.321112,,
1,6399,6399,0.743,0.25368,0.25368,,
1,6599,6599,0.74,0.642157,0.642157,,
1,6799,6799,0.738,0.323462,0.323462,,
1,6999,6999,0.736,0.302344,0.302344,,
1,7199,7199,0.734,0.455701,0.455701,,
1,7399,7399,0.732,0.20575,0.20575,,
1,7599,7599,0.73,0.284741,0.284741,,
1,7799,7799,0.729,0.245395,0.245395,,
1,7999,7999,0.727,0.529712,0.529712,,
1,8199,8199,0.726,0.215659,0.215659,,
1,8399,8399,0.724,0.202512,0.202512,,
1,8599,8599,0.723,0.293562,0.293562,,
1,8799,8799,0.721,0.51944,0.51944,,
1,8999,8999,0.72,0.235297,0.235297,,
1,9199,9199,0.719,0.374442,0.374442,,
1,9399,9399,0.718,0.255487,0.255487,,
1,9599,9599,0.717,0.224762,0.224762,,
1,9799,9799,0.716,0.562415,0.562415,,
1,9999,9999,0.715,0.646493,0.646493,,
1,10199,10199,0.714,0.222247,0.222247,,
1,10399,10399,0.713,0.299548,0.299548,,
1,10599,10599,0.712,0.214813,0.214813,,
1,10799,10799,0.711,0.232791,0.232791,,
1,10999,10999,0.71,0.249057,0.249057,,
1,11199,11199,0.709,0.209412,0.209412,,
1,11399,11399,0.709,0.230325,0.230325,,
1,11599,11599,0.708,0.3185,0.3185,,
1,11799,11799,0.707,0.564789,0.564789,,
1,11999,11999,0.706,0.452335,0.452335,,
1,12079,12079,0.706,0.237292,0.237292,,
2,0,12080,402.949,0.920337,0.920337,,
2,199,12279,2.668,0.267682,0.267682,,
2,399,12479,1.667,0.491461,0.491461,,
2,599,12679,1.334,0.332812,0.332812,,
2,799,12879,1.167,0.44057,0.44057,,
2,999,13079,1.068,0.215656,0.215656,,
2,1199,13279,1.002,0.366092,0.366092,,
2,1399,13479,0.954,0.68219,0.68219,,
2,1599,13679,0.918,0.654578,0.654578,,
2,1799,13879,0.89,0.279102,0.279102,,
2,1999,14079,0.867,0.49635,0.49635,,
2,2199,14279,0.849,0.716646,0.716646,,
2,2399,14479,0.834,0.602557,0.602557,,
2,2599,14679,0.821,0.20101,0.20101,,
2,2799,14879,0.81,0.216684,0.216684,,
2,2999,15079,0.8,0.405548,0.405548,,
2,3199,15279,0.792,0.508344,0.508344,,
