epoch,step,global_step,step_time_s,dpo_loss,chosen_reward,rejected_reward,reward_margin,reward_acc
1,0,0,26.182,0.692074,-0.089727,-0.111196,0.021469,0.5
1,0,0,27.876,0.673037,0.039784,-0.028267,0.06805,0.5
1,49,49,5.226,0.748507,-0.028634,0.068719,-0.097353,0.5
1,99,99,5.003,0.780228,-0.129157,0.033397,-0.162554,0.25
1,149,149,4.931,0.63988,0.030195,-0.085794,0.115989,0.75
1,199,199,4.899,0.629634,0.091094,-0.062421,0.153516,0.75
1,249,249,4.875,0.463979,0.708453,-0.049204,0.757658,0.5
1,299,299,4.859,0.382743,0.786152,-0.08296,0.869112,1.0
1,349,349,4.848,0.756936,-0.000968,0.106644,-0.107612,0.25
1,399,399,4.839,0.455062,0.826514,0.025562,0.800952,0.75
1,449,449,4.833,0.509972,0.524135,-0.051999,0.576134,0.75
1,499,499,4.828,0.433926,0.89645,-0.083974,0.980423,0.75
1,549,549,4.824,0.298494,1.535824,0.057721,1.478103,0.75
1,599,599,4.82,0.259131,1.76025,0.022267,1.737983,0.75
1,649,649,4.817,0.383508,1.223867,0.009014,1.214853,1.0
1,699,699,4.815,0.634125,0.183256,-0.062077,0.245333,0.75
1,749,749,4.812,0.587903,0.173203,-0.05454,0.227743,1.0
1,799,799,4.81,0.395859,1.06753,-0.221238,1.288768,1.0
1,849,849,4.808,0.42478,0.690319,-0.092775,0.783094,1.0
1,869,869,4.808,0.523592,0.66319,0.079272,0.583918,0.75
2,0,870,29.436,0.343399,1.242535,-0.156211,1.398746,1.0
2,49,919,5.268,0.339925,1.613198,0.078134,1.535064,1.0
2,99,969,5.025,0.480658,0.362054,-0.255935,0.61799,1.0
2,149,1019,4.944,0.328943,1.215057,-0.010937,1.225994,0.75
2,199,1069,4.903,0.329087,1.183836,-0.092472,1.276308,1.0
2,249,1119,4.879,0.332959,2.119671,0.195757,1.923914,1.0
2,299,1169,4.862,0.530171,0.497599,0.053448,0.444151,0.75
2,349,1219,4.85,0.523465,0.75122,0.058458,0.692762,0.75
2,399,1269,4.842,0.276934,2.009828,-0.063095,2.072923,1.0
2,449,1319,4.835,0.396083,0.845028,-0.238541,1.083569,1.0
2,499,1369,4.829,0.403102,1.198963,0.107536,1.091427,0.75
2,549,1419,4.825,0.4939,0.275293,-0.180546,0.45584,1.0
2,599,1469,4.821,0.141631,2.436523,0.080715,2.355808,1.0
2,649,1519,4.818,0.232585,2.258211,-0.054503,2.312714,0.75
2,699,1569,4.815,0.343567,1.361718,0.063199,1.298519,0.75
2,749,1619,4.813,0.129613,2.873598,0.046973,2.826625,1.0
2,799,1669,4.811,0.340484,2.189814,0.254273,1.93554,0.75
2,849,1719,4.809,0.477984,0.65664,-0.085245,0.741885,0.75
2,869,1739,4.808,0.218173,1.806318,0.058525,1.747793,1.0
